dochod	wydatki	sklepy	mieszkan	ksiegozb	ludoczys	apteki	lekarze	regon	bezrobot	oferty	deficyt
1354,744086	1372,638126	5,522645521	79	4,903427250	0,2133372560	1,604642766	0,4011606920	37,77596513	0,1966489710	1,359989120	-17,894040
1385,883794	1433,887351	12,964193110	31	4,292626481	0,6793451480	2,357126021	1,6499882140	90,10649924	0,2062699550	0,000000000	-48,003557
1342,933992	1488,652742	12,328675830	159	3,016938046	0,6649821180	2,110313881	1,3883643960	74,66068374	0,2501277300	0,444049734	-145,718750
1805,759858	1843,248543	14,723424560	23	2,337139157	0,9928001770	2,896970110	3,0844211170	83,68835418	0,1837360690	2,782415136	-37,488685
1416,822785	1578,759973	10,369577290	98	5,392576731	0,6109723210	1,586168610	1,1499722420	67,90784360	0,2848362280	0,278435194	-161,937188
1310,605388	1309,650429	12,269178340	177	4,299239373	0,4266792660	2,401164952	1,8976948820	79,43983145	0,1449683980	0,000000000	0,954959
1334,291227	1303,934721	11,017872710	197	3,952964255	0,4939843070	2,397558849	2,3430688750	77,26678291	0,1929598950	0,000000000	30,356506
1425,297094	1475,070721	13,270517580	927	3,380724943	0,5076963090	1,950677417	2,3940131940	104,86368900	0,1205755090	4,216099618	-49,773627
1317,255122	1391,354514	12,163609270	147	4,460878573	0,4323144610	1,513176273	0,8846261290	72,74885930	0,2236940120	0,416276408	-74,099392
1740,556472	1899,057666	13,471576800	521	2,897383665	0,9980823100	3,580749889	3,5290279460	107,39464640	0,1466356870	0,162795746	-158,501194
1242,137530	1236,996673	9,336642397	317	3,411843856	0,1605543680	2,392094129	0,9194611810	64,41460971	0,1481752810	0,807183937	5,140857
1432,738523	1446,928284	12,430332120	54	4,448054574	0,6303250870	1,406543946	2,0043251230	76,28742726	0,3103187580	0,000000000	-14,189761
2030,980257	2210,500129	12,481089260	80	4,251671710	0,8260211800	2,874432678	2,2314674740	95,18910741	0,1860816940	28,292682930	-179,519872
1258,968374	1286,317155	9,542736727	42	3,305556031	0,2715482530	2,055885830	1,6104439000	43,99595676	0,1968168030	1,392757660	-27,348781
1291,627873	1280,393274	8,980446292	228	4,434087772	0,3668861210	1,668664007	1,3349312060	54,57289786	0,1868296900	0,000000000	11,234599
1394,201911	1367,912514	15,989951110	38	4,102848316	0,6898594510	2,036936448	0,8826724610	91,06803368	0,2953897340	0,000000000	26,289397
1425,789873	1486,008495	11,508776200	94	3,720988293	0,5542023780	1,979022363	1,5832178900	56,85883481	0,2813865340	9,846353603	-60,218622
1153,795337	1195,068174	12,799057600	179	3,850515608	0,8432045320	2,337300511	1,7296023780	93,47332205	0,2286814820	2,207686018	-41,272837
2176,496620	2199,168798	12,787484190	236	4,106437460	0,9993910720	2,576233079	2,8728902210	97,42845098	0,2175277530	1,650875682	-22,672178
1393,726586	1379,421138	8,970199791	62	5,102129093	0,3010512510	1,418213406	0,7091067030	60,78817210	0,2902019180	1,710445938	14,305448
1432,047261	1551,736597	11,340710760	215	2,661951319	0,7389726510	2,268142153	1,0982583060	67,54288579	0,2527187860	0,472366556	-119,689336
1309,421631	1325,588884	10,467957150	176	3,340171020	0,2169329070	2,067280586	1,0148468330	65,44822402	0,1430370230	0,525555118	-16,167253
1977,834689	2186,767374	11,105113810	2939	2,035008313	0,9892287120	3,533346773	5,1699583150	125,40779810	0,1152304590	6,659392754	-208,932685
1587,003326	1613,578959	9,764330812	514	2,780433831	0,5640057510	3,125586047	0,6501218980	95,18034631	0,1419516160	1,937643121	-26,575633
1843,199710	1849,936919	12,807011320	1334	2,490993283	0,9999013940	4,023144916	2,6978736500	116,17817010	0,0835630865	7,646559048	-6,737209
1614,793062	1569,725030	14,687302590	95	3,440127746	0,6944619920	1,228328771	0,9300203550	90,12423668	0,2665824380	1,184834123	45,068032
2447,931164	2399,187056	9,880724488	265	2,108030236	0,9934913860	2,454228636	3,2739410000	98,98885780	0,1305747800	9,397789640	48,744108
1528,972422	1470,679727	8,272419022	88	3,282616845	0,4879704890	1,959481334	1,6783383600	58,94631021	0,1051304330	4,051863857	58,292695
2009,095145	1798,463983	10,959960970	204	2,904049286	0,8577928050	2,269143058	1,3501401200	91,78683670	0,2088292360	0,000000000	210,631162
1276,618996	1255,166825	11,210545640	30	3,253802888	0,4251309510	1,932852697	1,6622533200	71,72816360	0,1809150120	0,213675214	21,452171
1268,324225	1224,412469	12,609409390	270	3,097283851	0,6722843890	2,150553051	1,6774313790	91,82144675	0,1885174800	0,532359875	43,911756
1296,101934	1341,218175	10,749628100	163	4,898273074	0,6926718840	1,681650605	1,4617424490	92,23206778	0,2253929240	0,000000000	-45,116241
1306,084500	1281,390816	12,570360650	53	5,107014929	0,3867221390	1,779874074	1,2014150000	67,12350101	0,2178120900	1,634320735	24,693684
1458,864210	1466,995979	11,251291130	18	4,527187546	0,5837760070	1,844473956	1,2542422900	70,09001033	0,3441788400	1,714898178	-8,131769
