"wiek"	"naukaLata"	"edukacja"	"plec"	"wiaraZyciePo"	"szczescie"	"jakieZycie"	"fortunaEndPraca"	"gazetyCzesto"	"ogladaTVGodz"	"korzystaWWW"	"zodiak"	"dochod"	"ileGodzPracuje"
54	14	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Codziennie"	1	"Tak"	"Panna"	"$12500 TO 14999"	13
28	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Tak"	NA	NA	"Tak"	"Rak"	"$50000 TO 59999"	3
42	14	"Policealna"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	NA	NA	"Codziennie"	1	"Nie"	"Strzelec"	"$110000 OR OVER"	10
62	11	"Szkola zawodowa"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	NA	NA	NA	"Tak"	"Lew"	"$110000 OR OVER"	4
40	19	"Magisterium"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	"Codziennie"	1	"Tak"	"Rak"	"$60000 TO 74999"	8
76	15	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	NA	"Codziennie"	3	"Nie"	"Baran"	"$22500 TO 24999"	1
63	18	"Magisterium"	"Kobieta"	"Tak"	"Nieszczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Tak"	"Wodnik"	"$110000 OR OVER"	9
70	13	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	NA	"Codziennie"	3	"Nie"	"Baran"	"$35000 TO 39999"	2
66	16	"Licencjat"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	NA	NA	NA	"Tak"	"Strzelec"	"$40000 TO 49999"	2
44	12	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Tak"	"Codziennie"	4	"Nie"	"Koziorozec"	"$35000 TO 39999"	7
72	16	"Licencjat"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	NA	NA	NA	"Nie"	"Koziorozec"	"$30000 TO 34999"	3
68	18	"Magisterium"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Tak"	"Wodnik"	"$110000 OR OVER"	2
51	17	"Magisterium"	"Kobieta"	"Nie"	"Bardzo szczesliwy"	NA	NA	"Codziennie"	1	"Tak"	"Panna"	"$110000 OR OVER"	11
30	18	"Licencjat"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Mniej niz raz w tygodniu"	3	"Tak"	"Byk"	"$50000 TO 59999"	8
26	15	"Szkola srednia"	"Kobieta"	"Nie"	"Bardzo szczesliwy"	"Rutynowe"	"Nie"	"Codziennie"	1	"Tak"	"Baran"	"$90000 - $109999"	11
56	16	"Szkola srednia"	"Kobieta"	"Nie"	"Dosc szczesliwy"	NA	NA	"Kilka razy w tygodniu"	2	"Tak"	"Wodnik"	"UNDER $1 000"	9
35	14	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	"Nigdy"	3	"Nie"	"Panna"	"$50000 TO 59999"	7
33	16	"Licencjat"	"Kobieta"	"Nie"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Tak"	"Panna"	"$110000 OR OVER"	10
65	19	"Magisterium"	"Kobieta"	"Nie"	"Dosc szczesliwy"	NA	NA	"Codziennie"	1	"Nie"	"Ryby"	"$110000 OR OVER"	11
30	17	"Licencjat"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Tak"	"Koziorozec"	"$25000 TO 29999"	2
40	16	"Licencjat"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	NA	NA	"Codziennie"	2	"Tak"	"Waga"	"$110000 OR OVER"	8
44	17	"Licencjat"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Tak"	NA	NA	"Tak"	"Rak"	"$110000 OR OVER"	5
75	17	"Magisterium"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	"Raz w tygodniu"	2	"Tak"	"Strzelec"	"$40000 TO 49999"	3
87	18	"Magisterium"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Rutynowe"	NA	NA	NA	"Nie"	"Panna"	"$50000 TO 59999"	0
57	14	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	NA	"Codziennie"	3	"Tak"	"Ryby"	"$25000 TO 29999"	6
66	12	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Tak"	"Codziennie"	3	"Tak"	"Strzelec"	"$30000 TO 34999"	2
32	16	"Magisterium"	"Kobieta"	"Tak"	"Nieszczesliwy"	NA	NA	"Nigdy"	1	"Tak"	"Byk"	"$40000 TO 49999"	11
46	15	"Magisterium"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	NA	NA	"Tak"	"Ryby"	"$50000 TO 59999"	10
32	12	"Szkola srednia"	"Kobieta"	"Nie"	"Bardzo szczesliwy"	NA	NA	"Nigdy"	0	"Tak"	"Wodnik"	NA	12
84	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Codziennie"	4	"Tak"	"Koziorozec"	"$25000 TO 29999"	0
43	13	"Szkola zawodowa"	"Kobieta"	"Nie"	"Bardzo szczesliwy"	"Ekscytujace"	NA	"Nigdy"	5	"Nie"	"Panna"	"$20000 TO 22499"	7
26	13	"Szkola srednia"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Ekscytujace"	"Tak"	NA	NA	"Nie"	"Rak"	"$60000 TO 74999"	9
27	14	"Policealna"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Nudne"	"Nie"	NA	NA	"Tak"	"Lew"	"$75000 TO $89999"	9
32	12	"Szkola zawodowa"	"Kobieta"	"Tak"	"Nieszczesliwy"	"Nudne"	"Tak"	NA	NA	"Tak"	"Bliznieta"	"$40000 TO 49999"	5
32	16	"Licencjat"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Tak"	"Byk"	"$60000 TO 74999"	10
30	15	"Policealna"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Tak"	"Kilka razy w tygodniu"	3	"Tak"	"Strzelec"	"$35000 TO 39999"	7
40	16	"Licencjat"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	"Kilka razy w tygodniu"	2	"Tak"	"Koziorozec"	"$50000 TO 59999"	12
67	12	"Szkola srednia"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Ekscytujace"	NA	"Codziennie"	2	"Nie"	"Byk"	"$60000 TO 74999"	3
45	19	"Magisterium"	"Kobieta"	"Nie"	"Dosc szczesliwy"	NA	NA	"Kilka razy w tygodniu"	1	"Tak"	"Waga"	"$60000 TO 74999"	9
60	19	"Magisterium"	"Kobieta"	"Nie"	"Nieszczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Tak"	"Baran"	"$40000 TO 49999"	7
41	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Tak"	NA	NA	"Tak"	"Panna"	"$35000 TO 39999"	7
47	NA	"Szkola zawodowa"	"Kobieta"	"Nie"	"Bardzo szczesliwy"	NA	"Nie"	"Kilka razy w tygodniu"	2	"Nie"	"Wodnik"	NA	12
37	16	"Licencjat"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	"Codziennie"	1	"Tak"	"Rak"	"$110000 OR OVER"	12
44	15	"Policealna"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	NA	"Codziennie"	1	"Nie"	"Byk"	NA	10
73	12	"Szkola zawodowa"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	NA	NA	NA	"Tak"	"Waga"	"$35000 TO 39999"	1
33	16	"Licencjat"	"Kobieta"	"Nie"	"Dosc szczesliwy"	NA	"Nie"	"Codziennie"	3	"Nie"	"Baran"	NA	6
72	14	"Policealna"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	"Codziennie"	1	"Nie"	"Ryby"	NA	2
64	18	"Magisterium"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	NA	"Raz w tygodniu"	8	"Tak"	"Strzelec"	"$15000 TO 17499"	4
25	9	"Szkola zawodowa"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Rutynowe"	"Tak"	"Codziennie"	3	"Nie"	"Ryby"	NA	6
49	11	"Szkola zawodowa"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Kilka razy w tygodniu"	3	"Nie"	"Waga"	NA	6
54	18	"Magisterium"	"Kobieta"	"Nie"	"Dosc szczesliwy"	NA	NA	"Codziennie"	2	"Tak"	"Strzelec"	"$110000 OR OVER"	13
42	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	"Codziennie"	1	"Nie"	"Strzelec"	"$40000 TO 49999"	11
31	12	"Szkola srednia"	"Kobieta"	"Tak"	"Nieszczesliwy"	NA	NA	"Mniej niz raz w tygodniu"	2	"Nie"	"Panna"	"$25000 TO 29999"	8
37	13	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Rutynowe"	NA	NA	NA	"Nie"	"Ryby"	"$1 000 TO 2 999"	10
55	15	"Policealna"	"Kobieta"	"Tak"	"Nieszczesliwy"	"Ekscytujace"	"Nie"	"Mniej niz raz w tygodniu"	12	"Tak"	"Panna"	"$60000 TO 74999"	1
51	14	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Codziennie"	5	"Nie"	"Wodnik"	"$3 000 TO 3 999"	6
36	14	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Tak"	"Lew"	"$90000 - $109999"	9
43	20	"Magisterium"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Mniej niz raz w tygodniu"	1	"Tak"	"Rak"	"$75000 TO $89999"	9
32	12	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Rutynowe"	"Nie"	NA	NA	"Tak"	"Skorpion"	"$60000 TO 74999"	5
37	15	"Policealna"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	"Codziennie"	1	"Tak"	"Skorpion"	"$110000 OR OVER"	11
36	14	"Policealna"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	NA	NA	"Codziennie"	2	"Tak"	"Strzelec"	"$90000 - $109999"	11
59	15	"Policealna"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Tak"	NA	NA	"Tak"	"Panna"	"$110000 OR OVER"	1
37	19	"Magisterium"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	NA	NA	"Tak"	"Baran"	"$110000 OR OVER"	9
32	11	"Szkola srednia"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	NA	NA	"Tak"	"Byk"	"$50000 TO 59999"	9
33	16	"Licencjat"	"Kobieta"	"Nie"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Tak"	"Skorpion"	"$50000 TO 59999"	5
64	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	NA	"Kilka razy w tygodniu"	2	"Nie"	"Strzelec"	"$22500 TO 24999"	10
23	13	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	NA	NA	NA	NA	"Tak"	"Panna"	NA	7
35	8	"Szkola zawodowa"	"Kobieta"	"Nie"	"Dosc szczesliwy"	NA	"Nie"	NA	NA	"Nie"	"Strzelec"	"$12500 TO 14999"	9
30	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Tak"	"Kilka razy w tygodniu"	5	"Nie"	"Strzelec"	"$17500 TO 19999"	7
33	12	"Szkola srednia"	"Kobieta"	"Tak"	"Nieszczesliwy"	NA	NA	"Codziennie"	2	"Nie"	"Bliznieta"	"$15000 TO 17499"	11
67	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	NA	NA	NA	"Nie"	"Rak"	"$10000 TO 12499"	1
43	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Tak"	"Kilka razy w tygodniu"	4	"Tak"	"Waga"	"$50000 TO 59999"	8
59	16	"Licencjat"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Tak"	"Codziennie"	1	"Tak"	"Skorpion"	NA	9
56	18	"Magisterium"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Rutynowe"	"Tak"	NA	NA	"Tak"	"Strzelec"	"$90000 - $109999"	11
61	7	"Szkola zawodowa"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Rutynowe"	NA	"Codziennie"	12	"Nie"	"Lew"	"$20000 TO 22499"	0
48	12	"Szkola srednia"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	NA	NA	"Nie"	"Skorpion"	"$22500 TO 24999"	2
37	15	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	"Kilka razy w tygodniu"	0	"Tak"	"Waga"	"$60000 TO 74999"	13
72	8	"Szkola zawodowa"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	NA	"Kilka razy w tygodniu"	3	"Nie"	"Ryby"	"$22500 TO 24999"	1
20	10	"Szkola zawodowa"	"Kobieta"	"Nie"	"Dosc szczesliwy"	NA	NA	"Mniej niz raz w tygodniu"	1	"Nie"	"Bliznieta"	NA	11
23	13	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	NA	"Kilka razy w tygodniu"	2	"Tak"	"Koziorozec"	"$15000 TO 17499"	13
34	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Rutynowe"	"Tak"	"Kilka razy w tygodniu"	3	"Tak"	"Waga"	"$40000 TO 49999"	7
46	2	"Szkola zawodowa"	"Kobieta"	"Tak"	"Nieszczesliwy"	"Rutynowe"	"Tak"	NA	NA	"Nie"	"Skorpion"	"$17500 TO 19999"	0
46	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Tak"	NA	NA	"Tak"	"Skorpion"	"$60000 TO 74999"	3
76	20	"Magisterium"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	NA	"Codziennie"	3	"Nie"	"Panna"	"$40000 TO 49999"	1
24	16	"Licencjat"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Tak"	NA	NA	"Tak"	"Bliznieta"	"$30000 TO 34999"	8
80	8	"Szkola zawodowa"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Mniej niz raz w tygodniu"	6	"Nie"	"Baran"	"$8 000 TO 9 999"	0
45	12	"Szkola srednia"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Rutynowe"	"Tak"	NA	NA	"Tak"	"Wodnik"	"$90000 - $109999"	4
41	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	"Codziennie"	3	"Nie"	"Bliznieta"	"$10000 TO 12499"	6
35	14	"Szkola zawodowa"	"Kobieta"	"Nie"	"Bardzo szczesliwy"	NA	NA	"Mniej niz raz w tygodniu"	1	"Tak"	"Panna"	NA	13
67	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Codziennie"	2	"Nie"	"Bliznieta"	"$8 000 TO 9 999"	2
78	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Codziennie"	4	"Tak"	"Baran"	"$25000 TO 29999"	6
48	20	"Magisterium"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	"Codziennie"	0	"Tak"	"Baran"	"$110000 OR OVER"	13
51	14	"Policealna"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Tak"	"Strzelec"	"$35000 TO 39999"	6
39	9	"Szkola srednia"	"Kobieta"	"Nie"	"Nieszczesliwy"	"Nudne"	NA	NA	NA	"Tak"	"Lew"	"$8 000 TO 9 999"	7
25	16	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Raz w tygodniu"	3	"Tak"	"Ryby"	"$20000 TO 22499"	8
46	13	"Szkola srednia"	"Kobieta"	"Tak"	"Bardzo szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Tak"	"Ryby"	"$25000 TO 29999"	7
30	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Nie"	NA	NA	"Nie"	"Bliznieta"	"$12500 TO 14999"	6
43	12	"Szkola srednia"	"Kobieta"	"Tak"	"Dosc szczesliwy"	"Ekscytujace"	"Tak"	"Codziennie"	0	"Tak"	"Skorpion"	"$40000 TO 49999"	8
42	14	"Policealna"	"Kobieta"	"Tak"	"Dosc szczesliwy"	NA	NA	"Codziennie"	1	"Tak"	"Ryby"	"$60000 TO 74999"	11
35	16	"Licencjat"	"Kobieta"	"Nie"	"Bardzo szczesliwy"	"Rutynowe"	"Tak"	NA	NA	"Tak"	"Koziorozec"	"$90000 - $109999"	6
55	16	"Licencjat"	"Kobieta"	"Nie"	"Bardzo szczesliwy"	"Ekscytujace"	"Tak"	"Codziennie"	3	"Tak"	"Rak"	"$110000 OR OVER"	7
25	14	"Policealna"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Rutynowe"	"Tak"	NA	NA	"Tak"	"Panna"	NA	0
86	11	"Szkola zawodowa"	"Kobieta"	"Nie"	"Dosc szczesliwy"	"Rutynowe"	"Nie"	NA	NA	"Nie"	"Koziorozec"	"$35000 TO 39999"	0
