"IDOferty","CenaPLN","KM","Marka","Model","LiczbaDrzwi","PojemnoscSkokowa","PrzebiegKm","RodzajPaliwa","RokProdukcji","Kolor","KrajPochodzenia","PojazdUszkodzony","SkrzyniaBiegow"
86,38700,116,"Toyota","Avensis","4/5",2000,150000,"olej napędowy (diesel)",2004,"czarny-metallic","Niemcy","Nie","manualna"
88,82000,265,"Audi","S3","2/3",1984,145000,"benzyna",2007,"czarny","Polska","Nie","manualna"
89,27400,130,"Renault","Grand Scenic","4/5",1900,147000,"olej napędowy (diesel)",2007,"grafitowy-metallic","Francja","Nie","manualna"
90,29999,90,"Toyota","Auris","4/5",1364,172000,"olej napędowy (diesel)",2008,"srebrny","Polska","Nie","manualna"
91,23500,130,"Renault","Megane","4/5",1870,150200,"olej napędowy (diesel)",2007,"czerwony","Niemcy","Nie","manualna"
92,26200,90,"Opel","Astra","4/5",1248,108000,"olej napędowy (diesel)",2007,"srebrny-metallic","Niemcy","Nie","manualna"
93,62000,95,"Mercedes-Benz","A 160","4/5",1498,7000,"benzyna",2011,"czerwony","Polska","Nie","manualna"
94,43600,105,"Volkswagen","Jetta","4/5",1900,138000,"olej napędowy (diesel)",2008,"czarny-metallic","Francja","Nie","manualna"
95,24500,102,"Audi","A4","4/5",1595,174000,"benzyna",2003,"zielony-metallic","Niemcy","Nie","manualna"
97,62500,445,"BMW","760","4/5",5998,204100,"benzyna",2002,"zielony-metallic","Niemcy","Nie","automatyczna"
98,13900,70,"Peugeot","206","4/5",1398,136000,"olej napędowy (diesel)",2003,"niebieski","Polska","Nie","manualna"
99,39900,100,"Renault","Clio","4/5",1200,5750,"benzyna",2010,"czarny-metallic","Polska","Nie","manualna"
100,17900,97,"Toyota","Corolla","4/5",1398,210000,"benzyna",2004,"czerwony","Polska","Nie","manualna"
101,41000,105,"Volkswagen","Passat","4/5",1896,167000,"olej napędowy (diesel)",2007,"srebrny-metallic","Niemcy","Nie","manualna"
102,15400,163,"Mercedes-Benz","C 200","4/5",1998,150000,"benzyna",2001,"niebieski-metallic","Polska","Tak","automatyczna"
103,28900,105,"Volkswagen","Golf","4/5",1896,179000,"olej napędowy (diesel)",2004,"czarny-metallic","Niemcy","Nie","manualna"
105,58000,218,"BMW","530","4/5",3000,205000,"olej napędowy (diesel)",2003,"zloty-metallic","Niemcy","Nie","automatyczna"
106,21900,115,"Volkswagen","Sharan","4/5",1896,222000,"olej napędowy (diesel)",2001,"zielony","Niemcy","Nie","manualna"
108,42500,175,"Opel","Vectra","4/5",1998,135800,"benzyna",2006,"czarny-metallic","Polska","Nie","manualna"
110,16700,115,"Volkswagen","Passat","4/5",2000,143000,"benzyna",2001,"srebrny-metallic","Niemcy","Nie","automatyczna"
111,26900,143,"Mercedes-Benz","C 220","4/5",2148,209000,"olej napędowy (diesel)",2001,"niebieski-metallic","Niemcy","Nie","automatyczna"
113,37500,105,"Skoda","Octavia","4/5",1900,107000,"olej napędowy (diesel)",2009,"bialy","Polska","Nie","manualna"
114,38500,140,"Volkswagen","Passat","4/5",2000,179000,"olej napędowy (diesel)",2007,"czarny-metallic","Polska","Nie","manualna"
115,53500,140,"Volkswagen","Passat","4/5",2000,64490,"olej napędowy (diesel)",2008,"czarny-metallic","Polska","Nie","automatyczna"
118,35600,125,"Ford","Mondeo","4/5",1800,149000,"olej napędowy (diesel)",2007,"czarny","Francja","Nie","manualna"
119,27900,250,"Audi","A6","4/5",2671,249000,"benzyna",2003,"czarny","Polska","Nie","automatyczna"
122,149900,354,"Audi","S5","2/3",4163,42500,"benzyna",2007,"czarny-metallic","Niemcy","Nie","manualna"
124,89000,177,"BMW","520","4/5",2000,160578,"olej napędowy (diesel)",2009,"grafitowy-metallic","Niemcy","Nie","automatyczna"
125,12800,54,"Skoda","Fabia","4/5",1198,115000,"benzyna",2003,"srebrny-metallic","Polska","Nie","manualna"
126,58999,125,"Ford","Mondeo","4/5",1753,46000,"olej napędowy (diesel)",2010,"czarny-metallic","Polska","Nie","manualna"
127,34700,93,"Toyota","Corolla","4/5",1998,131191,"olej napędowy (diesel)",2007,"czarny-metallic","Polska","Nie","manualna"
128,41900,109,"Mercedes-Benz","A 180","4/5",1991,44500,"olej napędowy (diesel)",2006,"czarny-metallic","Polska","Nie","manualna"
129,37500,101,"Opel","Vivaro","4/5",1870,225000,"olej napędowy (diesel)",2005,"srebrny-metallic","Niemcy","Nie","manualna"
130,48000,150,"Mercedes-Benz","E 220","4/5",2200,85000,"olej napędowy (diesel)",2003,"srebrny","Niemcy","Nie","półautomatyczna/sekwencyjna"
